"State","Date","Text","Sen_length"
"South Carolina","1868-04-16","Article 3.0 [Last Modified: 6/2/2004 4:15:39 PM]  No Article Text  Section 1.0 0 [Last Modified: 6/2/2004 4:15:38 PM]   Section 1.",28
"North Dakota","1981-01-01","All proceeds of the public lands that have heretofore been, or may hereafter be granted by the United States for the support of the common schools in this state; all such per centum as may be granted by the United States on the sale of public lands; the proceeds of property that shall fall to the state by escheat; all gifts, donations, or the proceeds thereof that come to the state for support of the common schools, or not otherwise appropriated by the terms of the gift, and all other property otherwise acquired for common schools, shall be and remain a perpetual trust fund for the maintenance of the common schools of the state.",114
"New Jersey","1947-11-04","The agencyshall have 30 days to amend or withdraw the existing or proposed rule or regulation.",16
"New Mexico","1911-01-01","Neither the state, nor any county, school district, or municipality, except as otherwise provided in this construction, shall directly or indirectly lend or pledge its credit, or make any donation to or in aid of any person, association or public or private corporation, or in aid of any private enterprise for the construction of any railroad; provided, nothing herein shall be construed to prohibit the state or any county or municipality from making provision for the care and maintenance of sick and indigent persons, nor shall it prohibit the state from establishing a veterans' scholarship program for Vietnam conflict veterans who are post-secondary students at educational institutions under the exclusive control of the state by exempting such veterans from the payment of tuition.",123
"Delaware","1897-06-10","Estimated unencumbered funds are calculated by taking the estimated general fund cash balance at the end of the fiscal year less estimated revenue anticipation bonds or notes, estimated encumbrances, estimated continuing appropriations and the amount of the Budget Reserve Account as established in subsection (d) of this Section at the end of said fiscal year.",55
"South Carolina","1868-04-16","If two or more amendments shall be submitted at the same time, they shall be submitted in such manner that the electors shall vote for or against each of such amendments separately.",32
"Arkansas","1874-10-13","All monies shall be deposited in the Game Protection Fund with the State Treasurer and such monies as are necessary, including an emergency fund, shall be appropriated by the Legislature at each legislative session for the use of the Game and Fish Commission as hereto set forth.",47
"South Carolina","1896-01-01","The General Assembly shall provide by law for a procedure to survey the progress of the collection of revenue and the expenditure of funds and to authorize and direct reduction of appropriations as may be necessary to prevent a deficit.",40
"Louisiana","1974-01-01","Nothing in this Section shall prevent (1) the use of public funds for programs of social welfare for the aid and support of the needy; (2) contributions of public funds to pension and insurance programs for the benefit of public employees; (3) the pledge of public funds, credit, property, or things of value for public purposes with respect to the issuance of bonds or other evidences of indebtedness to meet public obligations as provided by law; (4) the return of property, including mineral rights, to a former owner from whom the property had previously been expropriated, or purchased under threat of expropriation, when the legislature by law declares that the public and necessary purpose which originally supported the expropriation has ceased to exist and orders the return of the property to the former owner under such terms and conditions as specified by the legislature; (5) acquisition of stock by any institution of higher education in exchange for any intellectual property; or (6) the donation of abandoned and blighted housing property by the governing authority of a municipality with a population greater than four hundred fifty thousand persons to a nonprofit organization which is recognized by the Internal Revenue Service as a 501(C)(3) nonprofit organization and which agrees to renovate and maintain such property until conveyance of the property by such organization.",223
"Pennsylvania","1969-01-01","The publication shall also state the population of the senatorial and representative districts having the smallest and largest population and the percentage variation of such districts from the average population for senatorial and representative districts.",35
"Ohio","1802-11-29","That no person arrested or confined in jail shall be treated with unnecessary rigor, or be put to answer any criminal charge, but by presentment, indictment, or impeachment.",28
"North Dakota","1981-01-01","[Approved June 12, 1990; effective July 1, 1991]    Section 23.0 0 [Last Modified: 5/30/2006 8:56:29 PM]  No Section Text  Amendment 102 [1992]   SEC.",27
"Colorado","1876-03-14","(1) There shall be one judicial nominating commission for the supreme court and any intermediate appellate court to be called the supreme court nominating commission and one judicial nominating commission for each judicial district in the state.",37
"Louisiana","1868-03-02","Article 3.0 [Last Modified: 6/14/2004 9:25:17 PM]   TITLE III  EXECUTIVE DEPARTMENT     Section 48.0 0 [Last Modified: 6/14/2004 9:25:15 PM]   ART.",28
"California","1879-05-07","Said corporation shall be in form a board composed of eight ex officio members, to wit: the Governor, the Lieutenant Governor, the Speaker of the Assembly, the Superintendent of Public Instruction, the President of the State Board of Agriculture, the President of the Mechanics Institute of San Francisco, the President of the Alumni Association of the University and the Acting President of the University, and 16 appointive members appointed by the Governor; provided, however, that the present appointive members shall hold office until the expiration of their present terms.",89
